branch	sha
chore/phase7c-runtime-gitignore	c10d097a1ede45ffeed3f3bc65d9b59ded893b7c
chore/repo-consolidation-20260902	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-20260902-execution	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-execution-20260902	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902-v2	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902-v3	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902-v4	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902-v5	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902-v6	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902-v7	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902-v8	0758736a5a1ab35d639a6342c3c75cdfad9326ef
chore/repo-consolidation-final-20260902-v9	b3129868244369f6486052a88b83579c6096ea55
chore/repo-consolidation-plan-20260902	0758736a5a1ab35d639a6342c3c75cdfad9326ef
codex/phase7c-adjustable-lot	dcd8d06780a9c570909d905c4407b09f9ebd3aeb
codex/phase7c-canonical-deal-ledger-accounting	736da8b5d6cd5f7ee5ba8a7e3fcb54611b093937
codex/phase7c-canonical-ledger-startup-backfill-e2e	7a400e5b6ae9853ddad9398646f1bdee8c240c28
codex/phase7c-structural-sl-monotonicity-audit	4d23587d8beb1c4162398ac6db5a624aed9ba34f
codex/strategy-management-sync	ebad6cb9f500962ba5550378a7e084659993537a
codex/windows-safe-telegram-activation	d3b8c202718da19ae175d0dc89ace4bb90346449
design/phase7c-autolot-fixed-tp	b13cb7d012d3b5331f8f34a141c1d3530a5f0c85
design/phase7c-autolot-fixed-tp-review	8b3d9f1f87ef6465c014b545248c94949c35bf7a
design/phase7c-autolot-fixed-tp-review2	8b3d9f1f87ef6465c014b545248c94949c35bf7a
design/phase7c-autolot-fixed-tp-review3	8b3d9f1f87ef6465c014b545248c94949c35bf7a
design/phase7c-autolot-fixed-tp-review4	8b3d9f1f87ef6465c014b545248c94949c35bf7a
design/phase7c-autolot-fixed-tp-review5	8b3d9f1f87ef6465c014b545248c94949c35bf7a
design/phase7c-autolot-fixed-tp-review6	8b3d9f1f87ef6465c014b545248c94949c35bf7a
design/phase7c-strategy-entry-conditions	08134ed30f09e3a2a17e535188b65f706d4da6e3
design/phase7c-system-lifecycle-broker	65ca9122d1130ef1664707004504bdbf7d92e24c
develop	83b8090efd10d28ded46bc4b3583c42eb4718918
feat/phase7c-broker-day-accounting	4922e6272ced7fcdef390cbffb8d5661529e69ea
feat/phase7c-canonical-hold-observability	20c0374006de3552017d44d3899728d59faff3b4
feat/phase7c-compact-mt5-dashboard	b1b9fe64f4e3a69c86b3bedaac5b170e7085a7ea
feat/phase7c-dashboard-safe-deploy	7e1aebf46cdcf6d3c79623af91ac8d61b85d8d28
feat/phase7c-dual-mt5-live-foundation	dec9780307533a7b1117b4251290562bb2c58e60
feat/phase7c-dual-terminal-live-arm-guard	6e975487bb8360d9c0145b3ca152bf61c9681beb
feat/phase7c-entry-condition-checklist	4667dfc2bff7491cf37da9e601edd23ef8d51558
feat/phase7c-fixed-tp-additive	da1a0d37c0289f5575bcf69decb0cd1415e06379
feat/phase7c-guarded-web-account-switch	240496bc73c92481832962f12bcfb63490f5b475
feat/phase7c-hold-m15-dedupe	d81f6619efe4a93598876567b05cfa75ff0ada7d
feat/phase7c-lifecycle-caller-provenance	14c6e69948518e89120d56a0a4c02e974af4687e
feat/phase7c-live-activation-preflight	b3483c7d97d7db49f72e3e7dbd94f4a815cea4d7
feat/phase7c-live-capability-gate	99cf14ada6b5d1b0da337403b53bfa4112abad7e
feat/phase7c-live-readonly-probe	a8327b9510f2590c439d402207b9a778924b0f87
feat/phase7c-live-risk-profile-guard	31a083edc5c01c22531c82ce4b442b0ce26d89a3
feat/phase7c-live-runtime-inspector	aefcab16431be9cc8909329c103cf7984b1e8abb
feat/phase7c-lot-bounds-telegram-journal	5661e146df0e92deebb0064e4939f36a0437da8d
feat/phase7c-lot-range-120	83dcdb02aeeb361f876c2dafd4e15a55cfbeb4dd
feat/phase7c-lot-range-1p20	7b2aebc16a6910d0ef1811f49689bec60900d885
feat/phase7c-m5-structural-trailing	e15dcab33eb9a7ac518a74284c7dc36e7517201a
feat/phase7c-m5-structural-trailing-impl	c30085b719e8aa4a0a301543d8ede2cb9c2ab0da
feat/phase7c-m5-structural-trailing-red	c30085b719e8aa4a0a301543d8ede2cb9c2ab0da
feat/phase7c-m5-structural-trailing-stop	fdf7b152da21ff2074c37b771c8c4f9128f6f006
feat/phase7c-mt5-dashboard-option-b	ad1b75c9889015bd7744f56fa6c0a6a3f563b36e
feat/phase7c-mt5-desktop-control	362550ca9a8f446a32e7141ac12b93640e23b5e0
feat/phase7c-portable-deploy-mobile-dev	05be4f81e27044f148e440c9ae91dc0175c590d8
feat/phase7c-portable-deploy-mobile-dev-v2	5d65cd7d1255d30438ed0a0ae88a6bcc891e7ff8
feat/phase7c-sideway-production-telegram-sample	1c02b8f34566fd3c21682593cb42aa3c7402f6ca
feat/phase7c-strategy-entry-conditions	b782eb63ee5771a18333d2369396723889f4d663
feat/phase7c-structural-sl-monotonicity	2250720f1ae5a98fbeff62aa36160769e6b2de98
feat/phase7c-system-lifecycle-broker	94d3400269abef715d2964c51a599ab132fc02cb
feat/phase7c-telegram-lifecycle-observability	b7b2edb4e4fdb09f553b7119ebd2ffb39a387b3c
feat/phase7c-telegram-lifecycle-observability-check	000dde4db2b11f67529c8fd5be6b5d38ffb43b79
feat/phase7c-telegram-lifecycle-observability-red	000dde4db2b11f67529c8fd5be6b5d38ffb43b79
feat/phase7c-trend-diagnostics-v2-telegram-test	06c4fdcaf099fb6f97b22c80d0f47637ccb7555a
feat/phase7c-vietnamese-ui	38bb4d5514d7f2b004192138f0a3d9675dbe70f0
feat/phase7c-vietnamese-ui-v2	38fb63add39d73994b70bcc603bffe4b538f9754
feat/phase7c-web-live-arm-demo-auto	ce469137397a9e6858e962ceb184afa4eaefd8f3
